loan_id,customer_id,industry,loan_amount,overdue_days,risk_class,report_date
LN00000,C6191,建筑业,3013.36,90,次级,2025-08-25
LN00001,C5426,批发零售,2323.28,0,正常,2025-08-11
LN00002,C9322,建筑业,151.89,0,正常,2025-08-30
LN00003,C3433,建筑业,950.03,45,次级,2025-08-11
LN00004,C7396,制造业,2188.13,0,正常,2025-08-15
LN00005,C8849,房地产,281.0,0,正常,2025-08-04
LN00006,C4005,餐饮住宿,1038.39,0,正常,2025-08-09
LN00007,C4556,建筑业,3057.35,0,正常,2025-08-11
LN00008,C9792,制造业,4829.88,0,正常,2025-08-14
LN00009,C3612,批发零售,1192.92,0,正常,2025-08-04
LN00010,C1775,建筑业,220.22,0,正常,2025-08-18
LN00011,C4943,制造业,3789.04,0,正常,2025-08-02
LN00012,C4843,餐饮住宿,965.03,0,正常,2025-08-14
LN00013,C5297,批发零售,4479.4,0,正常,2025-08-18
LN00014,C2016,餐饮住宿,4807.8,0,正常,2025-08-11
LN00015,C5887,交通运输,1815.93,0,正常,2025-08-04
LN00016,C8208,建筑业,1516.55,0,正常,2025-08-19
LN00017,C3568,制造业,3872.61,0,正常,2025-08-20
LN00018,C1391,房地产,3658.59,0,正常,2025-08-31
LN00019,C7184,房地产,4579.05,0,正常,2025-08-23
LN00020,C8215,建筑业,1885.55,0,正常,2025-08-02
LN00021,C9154,交通运输,2828.15,0,正常,2025-08-29
LN00022,C4840,交通运输,3622.56,90,次级,2025-08-09
LN00023,C5488,餐饮住宿,3567.78,0,正常,2025-08-06
LN00024,C8858,批发零售,205.57,0,正常,2025-08-25
LN00025,C7019,制造业,4542.45,0,正常,2025-08-09
LN00026,C5636,交通运输,1182.55,0,正常,2025-08-25
LN00027,C6915,房地产,4652.0,0,正常,2025-08-19
LN00028,C3693,餐饮住宿,2309.85,0,正常,2025-08-20
LN00029,C6450,建筑业,1655.51,0,正常,2025-08-09
LN00030,C8392,建筑业,1397.05,0,正常,2025-08-05
LN00031,C6864,餐饮住宿,1558.67,0,正常,2025-08-26
LN00032,C4748,房地产,3477.56,0,正常,2025-08-22
LN00033,C8994,建筑业,1649.85,0,正常,2025-08-08
LN00034,C2853,制造业,4860.32,0,正常,2025-08-12
LN00035,C8554,建筑业,1539.35,0,正常,2025-08-15
LN00036,C5737,制造业,2084.63,0,正常,2025-08-09
LN00037,C7528,交通运输,1235.83,0,正常,2025-08-30
LN00038,C6791,交通运输,2786.82,0,正常,2025-08-09
LN00039,C5218,建筑业,1248.69,0,正常,2025-08-26
LN00040,C1197,交通运输,2024.18,0,正常,2025-08-16
LN00041,C5282,制造业,973.27,0,正常,2025-08-03
LN00042,C8098,房地产,1140.19,0,正常,2025-08-06
LN00043,C3911,房地产,526.07,5,关注,2025-08-23
LN00044,C7694,制造业,4686.81,0,正常,2025-08-31
LN00045,C7616,房地产,1084.9,0,正常,2025-08-02
LN00046,C7287,批发零售,4095.25,0,正常,2025-08-07
LN00047,C3049,建筑业,4981.46,0,正常,2025-08-02
LN00048,C8158,建筑业,1728.2,0,正常,2025-08-29
LN00049,C2154,房地产,4288.81,0,正常,2025-08-10
LN00050,C2648,制造业,850.06,0,正常,2025-08-26
LN00051,C3557,建筑业,4703.66,0,正常,2025-08-07
LN00052,C5973,交通运输,2766.23,0,正常,2025-08-10
LN00053,C9352,房地产,139.47,0,正常,2025-08-18
